categoria,paciente_endereco_uf,Dias até vacinar,count
Comorbidades,AC,119.0,11
Comorbidades,AC,120.0,1929
Comorbidades,AC,121.0,1778
Comorbidades,AC,122.0,1655
Comorbidades,AC,123.0,1874
Comorbidades,AC,124.0,1155
Comorbidades,AC,125.0,316
Comorbidades,AC,126.0,15
Comorbidades,AC,127.0,1037
Comorbidades,AC,128.0,1032
Comorbidades,AC,129.0,965
Comorbidades,AC,130.0,742
Comorbidades,AC,131.0,657
Comorbidades,AC,132.0,272
Comorbidades,AC,133.0,23
Comorbidades,AC,134.0,651
Comorbidades,AC,135.0,736
Comorbidades,AC,136.0,537
Comorbidades,AC,137.0,166
Comorbidades,AC,138.0,236
Comorbidades,AC,139.0,155
Comorbidades,AC,140.0,5
Comorbidades,AC,141.0,421
Comorbidades,AC,142.0,444
Comorbidades,AC,143.0,444
Comorbidades,AC,144.0,367
Comorbidades,AC,145.0,315
Comorbidades,AC,146.0,146
Comorbidades,AC,147.0,17
Comorbidades,AC,148.0,118
Comorbidades,AC,149.0,57
Comorbidades,AC,150.0,152
Comorbidades,AC,151.0,97
Comorbidades,AC,152.0,63
Comorbidades,AC,153.0,18
Comorbidades,AC,154.0,2
Comorbidades,AC,155.0,49
Comorbidades,AC,156.0,29
Comorbidades,AC,157.0,10
Comorbidades,AC,158.0,1
Comorbidades,AL,4.0,1
Comorbidades,AL,5.0,1
Comorbidades,AL,11.0,1
Comorbidades,AL,12.0,1
Comorbidades,AL,21.0,1
Comorbidades,AL,24.0,1
Comorbidades,AL,28.0,2
Comorbidades,AL,29.0,2
Comorbidades,AL,32.0,1
Comorbidades,AL,34.0,1
Comorbidades,AL,37.0,1
Comorbidades,AL,39.0,1
Comorbidades,AL,40.0,1
Comorbidades,AL,43.0,1
Comorbidades,AL,45.0,2
Comorbidades,AL,47.0,4
Comorbidades,AL,48.0,1
Comorbidades,AL,51.0,3
Comorbidades,AL,52.0,3
Comorbidades,AL,53.0,3
Comorbidades,AL,54.0,3
Comorbidades,AL,57.0,1
Comorbidades,AL,58.0,2
Comorbidades,AL,59.0,2
Comorbidades,AL,60.0,47
Comorbidades,AL,61.0,2
Comorbidades,AL,62.0,1
Comorbidades,AL,64.0,3
Comorbidades,AL,66.0,4
Comorbidades,AL,67.0,9
Comorbidades,AL,68.0,8
Comorbidades,AL,69.0,8
Comorbidades,AL,70.0,1
Comorbidades,AL,71.0,9
Comorbidades,AL,72.0,24
Comorbidades,AL,73.0,17
Comorbidades,AL,74.0,7
Comorbidades,AL,75.0,4
Comorbidades,AL,76.0,31
Comorbidades,AL,77.0,12
Comorbidades,AL,78.0,193
Comorbidades,AL,79.0,316
Comorbidades,AL,80.0,135
Comorbidades,AL,81.0,76
Comorbidades,AL,82.0,80
Comorbidades,AL,83.0,202
Comorbidades,AL,84.0,22
Comorbidades,AL,85.0,214
Comorbidades,AL,86.0,296
Comorbidades,AL,87.0,653
Comorbidades,AL,88.0,567
Comorbidades,AL,89.0,554
Comorbidades,AL,90.0,647
Comorbidades,AL,91.0,549
Comorbidades,AL,92.0,728
Comorbidades,AL,93.0,1341
Comorbidades,AL,94.0,1037
Comorbidades,AL,95.0,1693
Comorbidades,AL,96.0,1650
Comorbidades,AL,97.0,707
Comorbidades,AL,98.0,93
Comorbidades,AL,99.0,1144
Comorbidades,AL,100.0,1135
Comorbidades,AL,101.0,1502
Comorbidades,AL,102.0,1301
Comorbidades,AL,103.0,999
Comorbidades,AL,104.0,755
Comorbidades,AL,105.0,226
Comorbidades,AL,106.0,1458
Comorbidades,AL,107.0,2623
Comorbidades,AL,108.0,3616
Comorbidades,AL,109.0,5725
Comorbidades,AL,110.0,5740
Comorbidades,AL,111.0,4542
Comorbidades,AL,112.0,774
Comorbidades,AL,113.0,4652
Comorbidades,AL,114.0,6564
Comorbidades,AL,115.0,6530
Comorbidades,AL,116.0,6440
Comorbidades,AL,117.0,4820
Comorbidades,AL,118.0,2112
Comorbidades,AL,119.0,623
Comorbidades,AL,120.0,3562
Comorbidades,AL,121.0,4092
Comorbidades,AL,122.0,4045
Comorbidades,AL,123.0,3994
Comorbidades,AL,124.0,3144
Comorbidades,AL,125.0,1423
Comorbidades,AL,126.0,707
Comorbidades,AL,127.0,2609
Comorbidades,AL,128.0,3183
Comorbidades,AL,129.0,2952
Comorbidades,AL,130.0,2592
Comorbidades,AL,131.0,2161
Comorbidades,AL,132.0,1178
Comorbidades,AL,133.0,403
Comorbidades,AL,134.0,1509
Comorbidades,AL,135.0,1594
Comorbidades,AL,136.0,1733
Comorbidades,AL,137.0,721
Comorbidades,AL,138.0,894
Comorbidades,AL,139.0,582
Comorbidades,AL,140.0,115
Comorbidades,AL,141.0,824
Comorbidades,AL,142.0,962
Comorbidades,AL,143.0,754
Comorbidades,AL,144.0,1023
Comorbidades,AL,145.0,821
Comorbidades,AL,146.0,403
Comorbidades,AL,147.0,30
Comorbidades,AL,148.0,464
Comorbidades,AL,149.0,479
Comorbidades,AL,150.0,417
Comorbidades,AL,151.0,399
Comorbidades,AL,152.0,395
Comorbidades,AL,153.0,400
Comorbidades,AL,154.0,156
Comorbidades,AL,155.0,545
Comorbidades,AL,156.0,451
Comorbidades,AL,157.0,279
Comorbidades,AL,158.0,53
Comorbidades,AM,4.0,3
Comorbidades,AM,5.0,1
Comorbidades,AM,6.0,10
Comorbidades,AM,7.0,1
Comorbidades,AM,8.0,1
Comorbidades,AM,10.0,3
Comorbidades,AM,11.0,1
Comorbidades,AM,12.0,7
Comorbidades,AM,13.0,2
Comorbidades,AM,15.0,56
Comorbidades,AM,16.0,5
Comorbidades,AM,17.0,35
Comorbidades,AM,18.0,58
Comorbidades,AM,19.0,58
Comorbidades,AM,21.0,1
Comorbidades,AM,22.0,16
Comorbidades,AM,23.0,12
Comorbidades,AM,24.0,15
Comorbidades,AM,25.0,6
Comorbidades,AM,26.0,9
Comorbidades,AM,27.0,6
Comorbidades,AM,29.0,6
Comorbidades,AM,30.0,3
Comorbidades,AM,31.0,137
Comorbidades,AM,32.0,36
Comorbidades,AM,33.0,38
Comorbidades,AM,34.0,2
Comorbidades,AM,35.0,3
Comorbidades,AM,36.0,5
Comorbidades,AM,37.0,8
Comorbidades,AM,38.0,3
Comorbidades,AM,39.0,16
Comorbidades,AM,40.0,12
Comorbidades,AM,41.0,2
Comorbidades,AM,42.0,6
Comorbidades,AM,43.0,31
Comorbidades,AM,44.0,141
Comorbidades,AM,45.0,40
Comorbidades,AM,46.0,24
Comorbidades,AM,47.0,69
Comorbidades,AM,48.0,30
Comorbidades,AM,49.0,1
Comorbidades,AM,50.0,91
Comorbidades,AM,51.0,37
Comorbidades,AM,52.0,81
Comorbidades,AM,53.0,116
Comorbidades,AM,54.0,70
Comorbidades,AM,55.0,10
Comorbidades,AM,56.0,1
Comorbidades,AM,57.0,227
Comorbidades,AM,58.0,133
Comorbidades,AM,59.0,404
Comorbidades,AM,60.0,135
Comorbidades,AM,61.0,100
Comorbidades,AM,62.0,9
Comorbidades,AM,63.0,3
Comorbidades,AM,64.0,73
Comorbidades,AM,65.0,67
Comorbidades,AM,66.0,44
Comorbidades,AM,67.0,110
Comorbidades,AM,68.0,78
Comorbidades,AM,69.0,30
Comorbidades,AM,70.0,2
Comorbidades,AM,71.0,1665
Comorbidades,AM,72.0,2063
Comorbidades,AM,73.0,3224
Comorbidades,AM,74.0,2201
Comorbidades,AM,75.0,6
Comorbidades,AM,76.0,5287
Comorbidades,AM,77.0,2
Comorbidades,AM,78.0,2111
Comorbidades,AM,79.0,4094
Comorbidades,AM,80.0,4703
Comorbidades,AM,81.0,4532
Comorbidades,AM,82.0,3827
Comorbidades,AM,83.0,4220
Comorbidades,AM,84.0,99
Comorbidades,AM,85.0,2556
Comorbidades,AM,86.0,3123
Comorbidades,AM,87.0,2773
Comorbidades,AM,88.0,2512
Comorbidades,AM,89.0,2420
Comorbidades,AM,90.0,1899
Comorbidades,AM,91.0,10
Comorbidades,AM,92.0,3270
Comorbidades,AM,93.0,4435
Comorbidades,AM,94.0,3623
Comorbidades,AM,95.0,3730
Comorbidades,AM,96.0,4238
Comorbidades,AM,97.0,4314
Comorbidades,AM,98.0,20
Comorbidades,AM,99.0,4399
Comorbidades,AM,100.0,5568
Comorbidades,AM,101.0,1811
Comorbidades,AM,102.0,2045
Comorbidades,AM,103.0,3320
Comorbidades,AM,104.0,3342
Comorbidades,AM,105.0,11
Comorbidades,AM,106.0,3435
Comorbidades,AM,107.0,3640
Comorbidades,AM,108.0,3910
Comorbidades,AM,109.0,3105
Comorbidades,AM,110.0,3107
Comorbidades,AM,111.0,3429
Comorbidades,AM,112.0,9
Comorbidades,AM,113.0,4722
Comorbidades,AM,114.0,5502
Comorbidades,AM,115.0,5149
Comorbidades,AM,116.0,6123
Comorbidades,AM,117.0,6214
Comorbidades,AM,118.0,5353
Comorbidades,AM,119.0,29
Comorbidades,AM,120.0,4158
Comorbidades,AM,121.0,4908
Comorbidades,AM,122.0,3448
Comorbidades,AM,123.0,4824
Comorbidades,AM,124.0,3808
Comorbidades,AM,125.0,2642
Comorbidades,AM,126.0,18
Comorbidades,AM,127.0,2862
Comorbidades,AM,128.0,2550
Comorbidades,AM,129.0,2091
Comorbidades,AM,130.0,1576
Comorbidades,AM,131.0,1424
Comorbidades,AM,132.0,954
Comorbidades,AM,133.0,16
Comorbidades,AM,134.0,1233
Comorbidades,AM,135.0,1184
Comorbidades,AM,136.0,934
Comorbidades,AM,137.0,566
Comorbidades,AM,138.0,672
Comorbidades,AM,139.0,498
Comorbidades,AM,140.0,1
Comorbidades,AM,141.0,444
Comorbidades,AM,142.0,775
Comorbidades,AM,143.0,826
Comorbidades,AM,144.0,711
Comorbidades,AM,145.0,627
Comorbidades,AM,146.0,83
Comorbidades,AM,147.0,52
Comorbidades,AM,148.0,358
Comorbidades,AM,149.0,687
Comorbidades,AM,150.0,562
Comorbidades,AM,151.0,440
Comorbidades,AM,152.0,435
Comorbidades,AM,153.0,337
Comorbidades,AM,154.0,1
Comorbidades,AM,155.0,109
Comorbidades,AM,156.0,240
Comorbidades,AM,157.0,192
Comorbidades,AM,158.0,10
Comorbidades,AP,12.0,1
Comorbidades,AP,19.0,1
Comorbidades,AP,21.0,1
Comorbidades,AP,27.0,4
Comorbidades,AP,28.0,3
Comorbidades,AP,29.0,3
Comorbidades,AP,30.0,1
Comorbidades,AP,31.0,1
Comorbidades,AP,41.0,1
Comorbidades,AP,43.0,1
Comorbidades,AP,49.0,2
Comorbidades,AP,50.0,1
Comorbidades,AP,52.0,2
Comorbidades,AP,54.0,1
Comorbidades,AP,55.0,1
Comorbidades,AP,56.0,2
Comorbidades,AP,59.0,1
Comorbidades,AP,60.0,1
Comorbidades,AP,61.0,1
Comorbidades,AP,62.0,1
Comorbidades,AP,64.0,2
Comorbidades,AP,65.0,9
Comorbidades,AP,66.0,10
Comorbidades,AP,67.0,8
Comorbidades,AP,68.0,19
Comorbidades,AP,71.0,12
Comorbidades,AP,72.0,7
Comorbidades,AP,73.0,5
Comorbidades,AP,74.0,7
Comorbidades,AP,75.0,1
Comorbidades,AP,76.0,12
Comorbidades,AP,77.0,1
Comorbidades,AP,78.0,28
Comorbidades,AP,79.0,120
Comorbidades,AP,80.0,150
Comorbidades,AP,81.0,88
Comorbidades,AP,82.0,52
Comorbidades,AP,83.0,16
Comorbidades,AP,84.0,1
Comorbidades,AP,85.0,479
Comorbidades,AP,86.0,1332
Comorbidades,AP,87.0,34
Comorbidades,AP,88.0,23
Comorbidades,AP,89.0,17
Comorbidades,AP,90.0,5
Comorbidades,AP,91.0,260
Comorbidades,AP,92.0,1246
Comorbidades,AP,93.0,260
Comorbidades,AP,94.0,96
Comorbidades,AP,95.0,263
Comorbidades,AP,96.0,525
Comorbidades,AP,97.0,135
Comorbidades,AP,98.0,2
Comorbidades,AP,99.0,193
Comorbidades,AP,100.0,235
Comorbidades,AP,101.0,379
Comorbidades,AP,102.0,308
Comorbidades,AP,103.0,358
Comorbidades,AP,104.0,494
Comorbidades,AP,105.0,157
Comorbidades,AP,106.0,648
Comorbidades,AP,107.0,1140
Comorbidades,AP,108.0,1687
Comorbidades,AP,109.0,1727
Comorbidades,AP,110.0,2933
Comorbidades,AP,111.0,1678
Comorbidades,AP,112.0,2
Comorbidades,AP,113.0,181
Comorbidades,AP,114.0,722
Comorbidades,AP,115.0,2186
Comorbidades,AP,116.0,1961
Comorbidades,AP,117.0,2054
Comorbidades,AP,118.0,1074
Comorbidades,AP,119.0,207
Comorbidades,AP,120.0,886
Comorbidades,AP,121.0,768
Comorbidades,AP,122.0,611
Comorbidades,AP,123.0,574
Comorbidades,AP,124.0,640
Comorbidades,AP,125.0,228
Comorbidades,AP,126.0,19
Comorbidades,AP,127.0,458
Comorbidades,AP,128.0,423
Comorbidades,AP,129.0,590
Comorbidades,AP,130.0,479
Comorbidades,AP,131.0,959
Comorbidades,AP,132.0,157
Comorbidades,AP,133.0,8
Comorbidades,AP,134.0,556
Comorbidades,AP,135.0,394
Comorbidades,AP,136.0,327
Comorbidades,AP,137.0,45
Comorbidades,AP,138.0,162
Comorbidades,AP,139.0,80
Comorbidades,AP,140.0,7
Comorbidades,AP,141.0,391
Comorbidades,AP,142.0,179
Comorbidades,AP,143.0,180
Comorbidades,AP,144.0,159
Comorbidades,AP,145.0,101
Comorbidades,AP,146.0,50
Comorbidades,AP,147.0,8
Comorbidades,AP,148.0,87
Comorbidades,AP,149.0,135
Comorbidades,AP,150.0,64
Comorbidades,AP,151.0,73
Comorbidades,AP,152.0,60
Comorbidades,AP,153.0,300
Comorbidades,AP,154.0,8
Comorbidades,AP,155.0,64
Comorbidades,AP,156.0,45
Comorbidades,AP,157.0,48
Comorbidades,AP,158.0,11
Comorbidades,BA,2.0,2
Comorbidades,BA,3.0,2
Comorbidades,BA,4.0,14
Comorbidades,BA,5.0,10
Comorbidades,BA,6.0,1
Comorbidades,BA,7.0,2
Comorbidades,BA,8.0,5
Comorbidades,BA,9.0,16
Comorbidades,BA,10.0,25
Comorbidades,BA,11.0,10
Comorbidades,BA,12.0,4
Comorbidades,BA,13.0,6
Comorbidades,BA,14.0,6
Comorbidades,BA,15.0,10
Comorbidades,BA,16.0,6
Comorbidades,BA,17.0,11
Comorbidades,BA,18.0,12
Comorbidades,BA,19.0,15
Comorbidades,BA,20.0,10
Comorbidades,BA,21.0,2
Comorbidades,BA,22.0,12
Comorbidades,BA,23.0,7
Comorbidades,BA,24.0,48
Comorbidades,BA,25.0,70
Comorbidades,BA,26.0,8
Comorbidades,BA,28.0,2
Comorbidades,BA,29.0,9
Comorbidades,BA,30.0,10
Comorbidades,BA,31.0,10
Comorbidades,BA,32.0,17
Comorbidades,BA,33.0,6
Comorbidades,BA,34.0,1
Comorbidades,BA,35.0,2
Comorbidades,BA,36.0,13
Comorbidades,BA,37.0,6
Comorbidades,BA,38.0,2
Comorbidades,BA,39.0,14
Comorbidades,BA,40.0,15
Comorbidades,BA,41.0,14
Comorbidades,BA,42.0,7
Comorbidades,BA,43.0,7
Comorbidades,BA,44.0,24
Comorbidades,BA,45.0,17
Comorbidades,BA,46.0,16
Comorbidades,BA,47.0,25
Comorbidades,BA,48.0,11
Comorbidades,BA,49.0,1
Comorbidades,BA,50.0,17
Comorbidades,BA,51.0,29
Comorbidades,BA,52.0,12
Comorbidades,BA,53.0,72
Comorbidades,BA,54.0,58
Comorbidades,BA,55.0,14
Comorbidades,BA,56.0,9
Comorbidades,BA,57.0,32
Comorbidades,BA,58.0,33
Comorbidades,BA,59.0,41
Comorbidades,BA,60.0,41
Comorbidades,BA,61.0,37
Comorbidades,BA,62.0,5
Comorbidades,BA,63.0,95
Comorbidades,BA,64.0,628
Comorbidades,BA,65.0,962
Comorbidades,BA,66.0,872
Comorbidades,BA,67.0,893
Comorbidades,BA,68.0,375
Comorbidades,BA,69.0,107
Comorbidades,BA,70.0,35
Comorbidades,BA,71.0,651
Comorbidades,BA,72.0,772
Comorbidades,BA,73.0,335
Comorbidades,BA,74.0,197
Comorbidades,BA,75.0,4
Comorbidades,BA,76.0,69
Comorbidades,BA,77.0,18
Comorbidades,BA,78.0,241
Comorbidades,BA,79.0,344
Comorbidades,BA,80.0,136
Comorbidades,BA,81.0,96
Comorbidades,BA,82.0,93
Comorbidades,BA,83.0,85
Comorbidades,BA,84.0,14
Comorbidades,BA,85.0,198
Comorbidades,BA,86.0,466
Comorbidades,BA,87.0,409
Comorbidades,BA,88.0,288
Comorbidades,BA,89.0,349
Comorbidades,BA,90.0,74
Comorbidades,BA,91.0,15
Comorbidades,BA,92.0,1091
Comorbidades,BA,93.0,1629
Comorbidades,BA,94.0,233
Comorbidades,BA,95.0,1458
Comorbidades,BA,96.0,1769
Comorbidades,BA,97.0,190
Comorbidades,BA,98.0,78
Comorbidades,BA,99.0,1679
Comorbidades,BA,100.0,2061
Comorbidades,BA,101.0,1823
Comorbidades,BA,102.0,1542
Comorbidades,BA,103.0,1951
Comorbidades,BA,104.0,656
Comorbidades,BA,105.0,80
Comorbidades,BA,106.0,7032
Comorbidades,BA,107.0,14413
Comorbidades,BA,108.0,21511
Comorbidades,BA,109.0,30093
Comorbidades,BA,110.0,27217
Comorbidades,BA,111.0,10630
Comorbidades,BA,112.0,92
Comorbidades,BA,113.0,24161
Comorbidades,BA,114.0,31182
Comorbidades,BA,115.0,24289
Comorbidades,BA,116.0,24630
Comorbidades,BA,117.0,20099
Comorbidades,BA,118.0,6878
Comorbidades,BA,119.0,209
Comorbidades,BA,120.0,17329
Comorbidades,BA,121.0,20055
Comorbidades,BA,122.0,15428
Comorbidades,BA,123.0,18618
Comorbidades,BA,124.0,15888
Comorbidades,BA,125.0,7317
Comorbidades,BA,126.0,147
Comorbidades,BA,127.0,8853
Comorbidades,BA,128.0,12538
Comorbidades,BA,129.0,9020
Comorbidades,BA,130.0,19697
Comorbidades,BA,131.0,25839
Comorbidades,BA,132.0,5621
Comorbidades,BA,133.0,618
Comorbidades,BA,134.0,15104
Comorbidades,BA,135.0,13425
Comorbidades,BA,136.0,12015
Comorbidades,BA,137.0,10885
Comorbidades,BA,138.0,11716
Comorbidades,BA,139.0,2606
Comorbidades,BA,140.0,254
Comorbidades,BA,141.0,10339
Comorbidades,BA,142.0,7659
Comorbidades,BA,143.0,6515
Comorbidades,BA,144.0,5028
Comorbidades,BA,145.0,8158
Comorbidades,BA,146.0,1405
Comorbidades,BA,147.0,52
Comorbidades,BA,148.0,4039
Comorbidades,BA,149.0,3857
Comorbidades,BA,150.0,3168
Comorbidades,BA,151.0,1996
Comorbidades,BA,152.0,1397
Comorbidades,BA,153.0,435
Comorbidades,BA,154.0,56
Comorbidades,BA,155.0,1129
Comorbidades,BA,156.0,1141
Comorbidades,BA,157.0,379
Comorbidades,BA,158.0,63
Comorbidades,CE,3.0,3
Comorbidades,CE,4.0,5
Comorbidades,CE,8.0,4
Comorbidades,CE,9.0,1
Comorbidades,CE,10.0,6
Comorbidades,CE,11.0,25
Comorbidades,CE,12.0,17
Comorbidades,CE,15.0,47
Comorbidades,CE,16.0,11
Comorbidades,CE,17.0,17
Comorbidades,CE,18.0,26
Comorbidades,CE,19.0,33
Comorbidades,CE,20.0,1
Comorbidades,CE,21.0,1
Comorbidades,CE,22.0,3
Comorbidades,CE,23.0,3
Comorbidades,CE,26.0,1
Comorbidades,CE,27.0,1
Comorbidades,CE,28.0,1
Comorbidades,CE,29.0,2
Comorbidades,CE,30.0,4
Comorbidades,CE,31.0,3
Comorbidades,CE,32.0,8
Comorbidades,CE,33.0,4
Comorbidades,CE,34.0,3
Comorbidades,CE,36.0,2
Comorbidades,CE,37.0,2
Comorbidades,CE,39.0,1
Comorbidades,CE,40.0,4
Comorbidades,CE,41.0,3
Comorbidades,CE,42.0,2
Comorbidades,CE,43.0,30
Comorbidades,CE,44.0,18
Comorbidades,CE,45.0,16
Comorbidades,CE,46.0,7
Comorbidades,CE,47.0,4
Comorbidades,CE,48.0,7
Comorbidades,CE,50.0,4
Comorbidades,CE,51.0,20
Comorbidades,CE,52.0,16
Comorbidades,CE,53.0,5
Comorbidades,CE,54.0,4
Comorbidades,CE,55.0,1
Comorbidades,CE,57.0,6
Comorbidades,CE,58.0,8
Comorbidades,CE,59.0,4
Comorbidades,CE,60.0,20
Comorbidades,CE,61.0,1
Comorbidades,CE,63.0,1
Comorbidades,CE,64.0,11
Comorbidades,CE,65.0,35
Comorbidades,CE,66.0,82
Comorbidades,CE,67.0,27
Comorbidades,CE,68.0,18
Comorbidades,CE,69.0,10
Comorbidades,CE,70.0,7
Comorbidades,CE,71.0,17
Comorbidades,CE,72.0,126
Comorbidades,CE,73.0,53
Comorbidades,CE,74.0,11
Comorbidades,CE,75.0,4
Comorbidades,CE,76.0,73
Comorbidades,CE,77.0,2
Comorbidades,CE,78.0,83
Comorbidades,CE,79.0,19
Comorbidades,CE,80.0,31
Comorbidades,CE,81.0,101
Comorbidades,CE,82.0,51
Comorbidades,CE,83.0,14
Comorbidades,CE,84.0,5
Comorbidades,CE,85.0,66
Comorbidades,CE,86.0,60
Comorbidades,CE,87.0,36
Comorbidades,CE,88.0,44
Comorbidades,CE,89.0,27
Comorbidades,CE,90.0,36
Comorbidades,CE,91.0,9
Comorbidades,CE,92.0,41
Comorbidades,CE,93.0,105
Comorbidades,CE,94.0,17
Comorbidades,CE,95.0,60
Comorbidades,CE,96.0,84
Comorbidades,CE,97.0,45
Comorbidades,CE,98.0,10
Comorbidades,CE,99.0,70
Comorbidades,CE,100.0,165
Comorbidades,CE,101.0,88
Comorbidades,CE,102.0,42
Comorbidades,CE,103.0,102
Comorbidades,CE,104.0,64
Comorbidades,CE,105.0,34
Comorbidades,CE,106.0,142
Comorbidades,CE,107.0,146
Comorbidades,CE,108.0,4771
Comorbidades,CE,109.0,2678
Comorbidades,CE,110.0,6397
Comorbidades,CE,111.0,10655
Comorbidades,CE,112.0,93
Comorbidades,CE,113.0,5949
Comorbidades,CE,114.0,6130
Comorbidades,CE,115.0,5959
Comorbidades,CE,116.0,2701
Comorbidades,CE,117.0,7976
Comorbidades,CE,118.0,6420
Comorbidades,CE,119.0,108
Comorbidades,CE,120.0,4623
Comorbidades,CE,121.0,3543
Comorbidades,CE,122.0,8245
Comorbidades,CE,123.0,12680
Comorbidades,CE,124.0,9871
Comorbidades,CE,125.0,10090
Comorbidades,CE,126.0,2901
Comorbidades,CE,127.0,11256
Comorbidades,CE,128.0,10741
Comorbidades,CE,129.0,9043
Comorbidades,CE,130.0,9461
Comorbidades,CE,131.0,9916
Comorbidades,CE,132.0,19050
Comorbidades,CE,133.0,2062
Comorbidades,CE,134.0,4222
Comorbidades,CE,135.0,4658
Comorbidades,CE,136.0,7128
Comorbidades,CE,137.0,2900
Comorbidades,CE,138.0,3285
Comorbidades,CE,139.0,4433
Comorbidades,CE,140.0,239
Comorbidades,CE,141.0,3729
Comorbidades,CE,142.0,2629
Comorbidades,CE,143.0,2150
Comorbidades,CE,144.0,6790
Comorbidades,CE,145.0,7177
Comorbidades,CE,146.0,5193
Comorbidades,CE,147.0,1704
Comorbidades,CE,148.0,1867
Comorbidades,CE,149.0,1609
Comorbidades,CE,150.0,1520
Comorbidades,CE,151.0,996
Comorbidades,CE,152.0,4649
Comorbidades,CE,153.0,185
Comorbidades,CE,154.0,10
Comorbidades,CE,155.0,202
Comorbidades,CE,156.0,178
Comorbidades,CE,157.0,119
Comorbidades,CE,158.0,201
Comorbidades,DF,4.0,1
Comorbidades,DF,8.0,1
Comorbidades,DF,9.0,3
Comorbidades,DF,10.0,10
Comorbidades,DF,11.0,7
Comorbidades,DF,12.0,19
Comorbidades,DF,15.0,26
Comorbidades,DF,16.0,46
Comorbidades,DF,17.0,51
Comorbidades,DF,18.0,32
Comorbidades,DF,19.0,11
Comorbidades,DF,20.0,7
Comorbidades,DF,21.0,2
Comorbidades,DF,22.0,9
Comorbidades,DF,23.0,11
Comorbidades,DF,24.0,11
Comorbidades,DF,25.0,4
Comorbidades,DF,26.0,14
Comorbidades,DF,28.0,1
Comorbidades,DF,29.0,4
Comorbidades,DF,30.0,1
Comorbidades,DF,31.0,5
Comorbidades,DF,32.0,15
Comorbidades,DF,33.0,6
Comorbidades,DF,35.0,1
Comorbidades,DF,36.0,14
Comorbidades,DF,37.0,26
Comorbidades,DF,38.0,34
Comorbidades,DF,39.0,24
Comorbidades,DF,40.0,17
Comorbidades,DF,41.0,1
Comorbidades,DF,43.0,25
Comorbidades,DF,44.0,35
Comorbidades,DF,45.0,44
Comorbidades,DF,46.0,21
Comorbidades,DF,47.0,23
Comorbidades,DF,48.0,3
Comorbidades,DF,49.0,1
Comorbidades,DF,50.0,26
Comorbidades,DF,51.0,19
Comorbidades,DF,52.0,20
Comorbidades,DF,53.0,13
Comorbidades,DF,54.0,28
Comorbidades,DF,55.0,3
Comorbidades,DF,57.0,32
Comorbidades,DF,58.0,18
Comorbidades,DF,59.0,38
Comorbidades,DF,60.0,17
Comorbidades,DF,61.0,18
Comorbidades,DF,63.0,2
Comorbidades,DF,64.0,23
Comorbidades,DF,65.0,37
